,"municipios","Property Name Occupied","Data","Area","Families","Organization"
"São Paulo","Presidente Epitácio","Fazenda Estância São Pedro","08/02/2008",,,"MAST/ MST***/MTB*"
"São Paulo","Presidente Epitácio","Fazenda Estância São Pedro","25/05/2008",,"40","MLST"
"São Paulo","Presidente Venceslau","Fazenda Coqueiro","04/02/2008",,"50","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Venceslau","Faz. Santa Teresa/Santa Terezinha","06/04/2008",,"14","MAST/ MTB*/Sintraf/ STR/Uniterra"
"São Paulo","Presidente Venceslau","Fazenda Santa Terezinha","04/02/2008",,,"MST***"
"São Paulo",,"Fazenda Conquista","18/10/2008",,"10","MST***"
"São Paulo","Salto do Pirapora","Quilombo do Cafundó/Maria Soares","14/11/2008",,"21","Quilombolas"
"São Paulo","Santo Anastácio","Fazenda Bela Vista","18/10/2008",,"10","MST"
"São Paulo","São Miguel Arcanjo","Fazenda Monte Belo","11/05/2008","260","14","MST"
"São Paulo","Serra Azul","Faz. Bocaina/Acamp. Alexandra Kolantai","22/05/2008","200","60","MST"
"São Paulo","Serra Azul","Usina Nova União/Área do Estado","06/12/2008",,"150","MST"
"São Paulo","Serrana","Fazenda Martinópolis","06/12/2008",,"80","MST"
"São Paulo","Teodoro Sampaio","Fazenda Margarete","18/10/2008","621","10","MST"
"São Paulo","Teodoro Sampaio","Fazenda São João","26/01/2008","960","40","MST***"
"São Paulo","Teodoro Sampaio","Fazenda Beira-Rio","04/02/2008",,"8","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"Sergipe","Estância","Fazenda Brígida","16/04/2008",,"220","MST"
"Sergipe","Santo Amaro das Brotas","Fazenda Samambaia","16/04/2008",,"120","MST"
"Sergipe","Siriri","Fazenda Oiteiro","16/04/2008",,"150","MST"
"Tocantins","Nova Olinda/Palmeirante","Faz. Boa Esperança/Chác. Carvoeiro/Chác. DeusPertence","06/05/2008","1384","30","STR"
"Alagoas","Branquinha","Fazenda Campo Verde","09/03/2009",,"300","CPT/ MLST/MMC/ MST"
"Alagoas","Branquinha","Fazenda Sapucaia","16/03/2009",,"30","LCP/ MTL"
"Alagoas","Cajueiro","Chácara Flor da Paraíba","14/07/2009",,"40","MLST"
