Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Linhares,"Córregos do Arroz/Faria/Rio dasPedras/Mult. Coca-Cola/Sucos Mais",11/2/2010,10,Uso e preservação,"Destruição e oupoluição",,
"São Mateus/ Conceição daBarra","Com. Quilombola São Jorge/Sapê doNorte/Aracruz",6/6/2010,70,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,4,,220,,,,
Goiás,,,,,,,
Catalão/ Davinópolis,Usina Hidrelétrica de Serra do Facão,13/5/2010,,Barragens e Açudes,"Destruição e oupoluição",,
Subtotal:,1,,0,,,,
Maranhão,,,,,,,
Arari,Povoado Pedrinhas,1/1/2010,7,Apropriação Particular,"Destruição e oupoluição",,
Chapadinha,Vila Chapéu,1/1/2010,93,Uso e preservação,"Destruição e oupoluição",,
Estreito,Usina Hidrelétrica de Estreito,2/9/2010,1150,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Itapecuru Mirim,"Território Qulilombola Sta. Rosa dosPretos",31/12/2010,500,Uso e preservação,"Destruição e oupoluição",,
Itapecuru Mirim/ Anajatuba,"Território Quilombola Monge Belo/Sta.Helena/Ribeiro e outros",21/9/2010,600,Uso e preservação,"Destruição e oupoluição",,
Mirinzal,V  iv o,31/12/2010,23,Apropriação Particular,"Impedimento deacesso à água",,
Pinheiro,Outeiro,31/12/2010,32,Apropriação Particular,"Impedimento deacesso à água",,
Pirapemas,Comunidade Salgado,31/12/2010,30,Apropriação Particular,"Impedimento deacesso à água",,
Subtotal:,8,,2435,,,,
Mato Grosso,,,,,,,
Chapada dos Guimarães,"Usina de Manso/Furnas/Faz. doMamão",7/3/2010,780,Barragens e Açudes,"Reassentamentoinadequado",,
Juína,"T. I.  Enawenê-Nawê/Adowinã/RioPreto",22/6/2010,96,Uso e preservação,"Destruição e oupoluição",,
Paranaíta,PCHs no Rio Teles Pires,14/8/2010,,Barragens e Açudes,"Ameaça deexpropriação",,
Subtotal:,3,,876,,,,
Mato Grosso do Sul,,,,,,,
Dourados,"Porto Cambira do Tekoha PassoPiradju",12/5/2010,16,Apropriação Particular,"Impedimento deacesso à água",,
Subtotal:,1,,16,,,,
Minas Gerais,,,,,,,
Aimorés/ Resplendor/ Itueta,"Usina Hidrelétrica de Aimorés/Vale doRio Doce",14/3/2010,,Barragens e Açudes,"Falta de projeto dereassentamento",,
Berizal/ Taiobeiras,Barragem de Berizal,31/3/2010,700,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Conceição do Mato Dentro,Com. Quil. Água Santa/Mumbuca,5/2/2010,,Uso e preservação,"Destruição e oupoluição",,
Diogo de Vasconcelos,Hidrelétrica de Fumaça,14/3/2010,,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Laranjal,Hidrelétrica Barra da Braúna,4/2/2010,180,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Matias Cardoso,Ilha Pau de Légua/Rio São Francisco,17/6/2010,70,Uso e preservação,"Destruição e oupoluição",,
Miravânia,"Faz. Tropeiros/Ibérica AgropecuáriaLtda",11/12/2010,,Uso e preservação,"Destruição e oupoluição",,
Paracatu,"Quilombo dos Amaro/RetomadaHistórica",25/10/2010,161,Uso e preservação,"Destruição e oupoluição",,
Paracatu,"Com. Quilombola São Domingos/Mineradora Kinross",25/10/2010,48,Uso e preservação,"Destruição e oupoluição",,
Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Salto da Divisa,Hidrelétrica de Itapebi,28/5/2010,35,Barragens e Açudes,"Destruição e oupoluição",,
São João do Paraíso,Barragem do Peão,31/12/2010,26,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Subtotal:,11,,1220,,,,
Pará,,,,,,,
Altamira,Hidrelétrica Belo Monte/Rio Xingu,4/2/2010,6000,Barragens e Açudes,"Ameaça deexpropriação",,
Itaituba/ Altamira/ Trairão,"PCHs do Rio Tapajós/Eletronorte/Com.Pimental/S. Luiz doTapajós/Mangabal/Jacarecanga/Periquito/T.I. Munduruku",18/5/2010,,Barragens e Açudes,"Ameaça deexpropriação",,
Subtotal:,2,,6000,,,,
Pernambuco,,,,,,,
Cabrobó/ Floresta/ Betânia,Transposição do Rio São Francisco,19/10/2010,1020,Uso e preservação,Divergência,,
Floresta,Assent. Serra Negra,5/5/2010,50,Uso e preservação,"Falta de projeto dereassentamento",,
Ipojuca,"Praia de Serrambi eEnseadinha/Colônia Z-12",1/1/2010,,Apropriação Particular,"Não cumprimento deprocedimentos legais",,
Ipojuca/ Escada,Usina Salgado,9/3/2010,,Uso e preservação,"Ameaça deexpropriação",,
"Jaboatão dos Guararapes/Recife","Colônia de Pescadores Z-1 eZ-25/Petrobrás",2/3/2010,1900,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,5,,2970,,,,
Rio de Janeiro,,,,,,,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",19/1/2010,,Uso e preservação,"Destruição e oupoluição",,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",30/4/2010,,Uso e preservação,"Destruição e oupoluição",,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",31/7/2010,,Uso e preservação,"Destruição e oupoluição",,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",31/8/2010,,Uso e preservação,"Impedimento deacesso à água",,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",1/9/2010,800,Uso e preservação,"Destruição e oupoluição",,
"Rio de Janeiro/ Mangaratiba/Itaguaí","Baía de Sepetiba/Vale/Thyssen KruppCSA",21/1/2010,8075,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,6,,8875,,,,
Rio Grande do Norte,,,,,,,
Baía Formosa,T. I. Sagi/Trabanda,30/9/2010,,Uso e preservação,"Destruição e oupoluição",,
"Rio do Fogo/ Touros/Maxaranguape","Colônia de Pescadores de MaracajaúZ-05/APARC",19/11/2010,40,Uso e preservação,Divergência,,
Subtotal:,2,,40,,,,
Rio Grande do Sul,,,,,,,
Alpestre/ Rio dos Índios,"UHE Foz do Chapecó/Com. LageadoGrande/Leão/Linha do Riva",26/7/2010,300,Barragens e Açudes,"Falta de projeto dereassentamento",,
Nonoai/ Faxinalzinho,UHE de Monjolinho/Engevix,23/2/2010,400,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Subtotal:,2,,700,,,,
Rondônia,,,,,,,
Alta Floresta do Oeste,PCH Ângelo Cassol,10/11/2010,100,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Candeias do Jamari,Usina Hidrelétrica de Samuel,15/3/2010,20,Barragens e Açudes,"Falta de projeto dereassentamento",,
Machadinho d ́Oeste,UHE Tabajara,10/10/2010,135,Barragens e Açudes,"Ameaça deexpropriação",,
Porto Velho,UHE Jirau e Sto. Antônio/Rio Madeira,15/3/2010,5000,Barragens e Açudes,"Falta de projeto dereassentamento",,
Vilhena,PCH de Apertadinho,5/7/2010,200,Barragens e Açudes,"Destruição e oupoluição",,
Subtotal:,5,,5455,,,,
Santa Catarina,,,,,,,
"Águas de Chapecó/Caxambu do Sul",Usina Hidrelétrica Foz do Chapecó,16/3/2010,300,Barragens e Açudes,"Falta de projeto dereassentamento",,
Imbituba,"Com. de Areias da Ribeira/Areais daRibanceira/Votorantim",20/7/2010,60,Uso e preservação,"Destruição e oupoluição",,
Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
oranga/ Ribeira/ Itaoca,Barragem do Tijuco Alto,24/8/2010,689,Barragens e Açudes,"Ameaça deexpropriação",,
abaçulândia,"Comunidade da Ilha de São José/UHEde Estreito",22/10/2010,36,Barragens e Açudes,"Reassentamentoinadequado",,
ão Bento do Tocantins,P.A. Formosa/Faz. Marju,21/10/2010,56,Barragens e Açudes,"Reassentamentoinadequado",,
ubtotal:,2,,92,,,,
Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Acre,,,,,,,
Boca do Acre/Rio Branco,Comunidade Lago Novo,11/6/2011,46,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,1,,46,,,,
Alagoas,,,,,,,
Maceió,Comunidade Pescadores do Jaraguá,9/3/2011,315,Uso e preservação,"Ameaça deexpropriação",,
Pilar,Colônia Z8 do Pilar/Petrobras,19/5/2011,1200,Uso e preservação,"Destruição e oupoluição",,
União dos Palmares,Comunidade Quilombola Muquém,19/6/2011,120,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,3,,1635,,,,
Amapá,,,,,,,
