municipios,Property Name Occupied,Data,Area,Families,Organization
Nova Santa Rita,Granja Nenê,18/02/2008,,,MST
Nova Santa Rita,Granja Nenê,27/02/2008,,,MST
Nova Santa Rita,Granja Nenê,22/09/2008,1500,400,MST
Piratini,Faz. Santa Maria/Votorantim,11/06/2008,,,Via Campesina
Rosário do Sul,Faz. Tarumã/Stora Enso,04/03/2008,2121,,Via Campesina
São Gabriel,Complexo Southal,14/04/2008,13222,700,MST
Subtotal:,11,,25072,2000,
Rondônia,,,,,
Corumbiara,Faz. Santa Elina/Água Viva,11/05/2008,18039,100,LCP
Porto Velho,T.I. Karitiana/Aldeia Myniwin/Igarapé Preto,18/07/2008,,20,Índios
Porto Velho,Faz. Mutum/Dipar/Acamp. Nova Conquista,08/09/2008,,30,LCP
Subtotal:,3,,18039,150,
Roraima,,,,,
Boa Vista,Fazenda em Bom Intento,11/04/2008,4000,500,MST
Subtotal:,1,,4000,500,
Santa Catarina,,,,,
Campo Belo do Sul,Fazenda Santa Clara,15/01/2008,1200,30,MST
Campo Erê,Faz. Perseverança/Araçá/Acamp. Mestre Antônio,17/08/2008,600,150,MST
Correia Pinto,Área em Correia Pinto Velho,22/06/2008,130,150,MST
Mafra,Fazenda Batatais,01/06/2008,600,200,MST
Taió,Fazenda Mato Queimado/Piazera,30/01/2008,935,60,MST
Subtotal:,5,,3465,590,
São Paulo,,,,,
Agudos,"Faz. Águas do Pilintra/Ambev/Acamp. Eldorado dosCarajás",12/04/2008,5400,600,MST
Agudos,Faz. Tangará/Marruá,20/11/2008,750,200,MST
Americana,Faz. Salto Grande/Saltinho/Acamp. Milton Santos,17/04/2008,216,30,MST
Americana,Área da Usina Ester,24/04/2008,,30,MST
,Fazenda Santo Henrique/Cutrale,18/04/2008,,300,MST
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Dracena,Fazenda das Cobras/Cobra,04/02/2008,550,14,"MAST/ MTB*/Sintraf/ STR/Uniterra"
Euclides da Cunha Paulista,Fazenda Iaras I,03/02/2008,,,"MAST/ MTB/Sintraf/ STR/Uniterra"
Euclides da Cunha Paulista,Fazenda Iaras I,18/10/2008,871,24,MST***
Flora Rica,Fazenda Santa Lourdes,03/02/2008,,,"MAST/ MTB/Sintraf/ STR/Uniterra"
Flora Rica,Fazenda Santa Lourdes,30/03/2008,,16,"MAST/ MTB*/Sintraf/ STR/Uniterra"
Iaras,Fazenda Turvinho/Empresa Cutrale,18/04/2008,800,120,MST
Iepê,Fazenda Esperança,13/02/2008,,,"MAST/ MST/MTB*/ Sintraf/STR/ Uniterra"
Iepê,Fazenda Esperança,21/03/2008,503,16,"MAST/ MTB*/Sintraf/ STR"
Itatiba,Faz. Haras Rosa do Sul/Comuna Che Guevara,01/03/2008,300,300,MST
João Ramalho,Fazenda São Mateus,07/04/2008,,14,SI
Junqueirópolis,Fazenda Nossa Senhora de Lurdes,18/10/2008,,10,MST
Martinópolis,Fazenda Estrela do Laranja Doce,04/02/2008,4000,14,"MAST/ MST/MTB*/ Sintraf/STR/ Uniterra"
Martinópolis,Fazenda Boa Esperança,03/02/2008,,12,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Martinópolis,Fazenda Santo André,28/10/2008,,,MST
Martinópolis,Fazenda Santo André,09/11/2008,7000,80,MST
Mirante do Paranapanema,Área da Odebrecht/Usina Conquista do Pontal,10/06/2008,,95,"MST/ ViaCampesina"
Pereira Barreto,Faz. Jamaica/Acamp. Olga Benário,15/05/2008,747,300,MST
Piquerobi,Fazenda Palmares,07/02/2008,,,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Piquerobi,Fazenda Palmares,03/11/2008,2500,30,MAST/ MST***
Pirapozinho/Presidente Bernardes,Fazenda São Luiz,04/02/2008,960,110,MST
Presidente Bernardes,Fazenda Guarani/Guaranizinho,03/02/2008,,,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Bernardes,Fazenda Guarani/Guaranizinho,07/04/2008,,,MST***
Presidente Bernardes,Fazenda Guarani/Guaranizinho,18/10/2008,677,10,MST***
Presidente Epitácio,Fazenda Alvorada,15/03/2008,,10,MLST
Presidente Epitácio,Fazenda Santo Antônio,09/02/2008,,58,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Epitácio,Faz. Sul Mineira/Liberdade,11/02/2008,1000,50,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Epitácio,Fazenda Santa Maria,09/02/2008,,58,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Epitácio,Fazenda Nova Lagoinha,10/02/2008,5000,,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Epitácio,Fazenda Aliança,10/02/2008,,14,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Epitácio,Fazenda Estância São Pedro,08/02/2008,,,"MAST/ MST***/MTB*"
Presidente Epitácio,Fazenda Estância São Pedro,25/05/2008,,40,MLST
Presidente Venceslau,Fazenda Coqueiro,04/02/2008,,50,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Presidente Venceslau,Faz. Santa Teresa/Santa Terezinha,06/04/2008,,14,"MAST/ MTB*/Sintraf/ STR/Uniterra"
Presidente Venceslau,Fazenda Santa Terezinha,04/02/2008,,,MST***
,Fazenda Conquista,18/10/2008,,10,MST***
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Salto do Pirapora,Quilombo do Cafundó/Maria Soares,14/11/2008,,21,Quilombolas
Santo Anastácio,Fazenda Bela Vista,18/10/2008,,10,MST
São Miguel Arcanjo,Fazenda Monte Belo,11/05/2008,260,14,MST
Serra Azul,Faz. Bocaina/Acamp. Alexandra Kolantai,22/05/2008,200,60,MST
Serra Azul,Usina Nova União/Área do Estado,06/12/2008,,150,MST
Serrana,Fazenda Martinópolis,06/12/2008,,80,MST
Teodoro Sampaio,Fazenda Margarete,18/10/2008,621,10,MST
Teodoro Sampaio,Fazenda São João,26/01/2008,960,40,MST***
Teodoro Sampaio,Fazenda Beira-Rio,04/02/2008,,8,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
Subtotal:,49,,33315,3022,
Sergipe,,,,,
Estância,Fazenda Brígida,16/04/2008,,220,MST
Santo Amaro das Brotas,Fazenda Samambaia,16/04/2008,,120,MST
Siriri,Fazenda Oiteiro,16/04/2008,,150,MST
Subtotal:,3,,0,490,
Tocantins,,,,,
Nova Olinda/Palmeirante,"Faz. Boa Esperança/Chác. Carvoeiro/Chác. DeusPertence",06/05/2008,1384,30,STR
Subtotal:,1,,1384,30,
